Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Disease,Prescription 1,Prescription 2,Prescription 3
shortness of breath,chest pain,cough,vomiting,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
sore throat,cough,sneezing,runny nose,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
joint pain,dizziness,vomiting,blurred vision,nausea,Migraine,N/A,N/A,N/A
shortness of breath,runny nose,fever,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
body ache,vomiting,fever,chills,nausea,Malaria,Chloroquine,Artemether,Primaquine
runny nose,headache,sneezing,congestion,sore throat,Sinusitis,N/A,N/A,N/A
nausea,blurred vision,headache,vomiting,,Migraine,N/A,N/A,N/A
body ache,chills,fatigue,vomiting,fever,Influenza,N/A,N/A,N/A
cough,runny nose,sneezing,sore throat,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chest pain,shortness of breath,fever,cough,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
nausea,fever,diarrhea,vomiting,,Gastroenteritis,N/A,N/A,N/A
rash,itchy eyes,vomiting,runny nose,congestion,Allergic Rhinitis,N/A,N/A,N/A
rash,fever,joint pain,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,congestion,sneezing,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
nausea,fever,blurred vision,headache,joint pain,Migraine,N/A,N/A,N/A
shortness of breath,fever,chest pain,cough,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
nausea,vomiting,headache,shortness of breath,blurred vision,Migraine,N/A,N/A,N/A
congestion,cough,fatigue,sore throat,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
rash,headache,fever,sore throat,joint pain,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,fatigue,dizziness,body ache,chills,Influenza,N/A,N/A,N/A
body ache,nausea,fever,vomiting,chills,Malaria,Chloroquine,Artemether,Primaquine
itchy eyes,runny nose,congestion,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
runny nose,sore throat,cough,fatigue,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
diarrhea,vomiting,nausea,fever,,Gastroenteritis,N/A,N/A,N/A
headache,joint pain,fever,rash,loss of appetite,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,nausea,blurred vision,vomiting,sneezing,Migraine,N/A,N/A,N/A
fever,fatigue,headache,body ache,chills,Influenza,N/A,N/A,N/A
congestion,body ache,sneezing,runny nose,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
headache,rash,blurred vision,joint pain,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,chills,rash,fever,joint pain,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sneezing,runny nose,itchy eyes,congestion,,Allergic Rhinitis,N/A,N/A,N/A
fever,fatigue,chest pain,headache,chills,Influenza,N/A,N/A,N/A
congestion,fever,sore throat,headache,chest pain,Sinusitis,N/A,N/A,N/A
shortness of breath,fatigue,cough,fever,chest pain,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,runny nose,itchy eyes,congestion,,Allergic Rhinitis,N/A,N/A,N/A
headache,chills,sneezing,fever,fatigue,Influenza,N/A,N/A,N/A
cough,fever,shortness of breath,chest pain,nausea,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,joint pain,headache,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
nausea,vomiting,body ache,chills,fever,Malaria,Chloroquine,Artemether,Primaquine
fatigue,headache,vomiting,chills,body ache,Influenza,N/A,N/A,N/A
headache,shortness of breath,loss of appetite,nausea,vomiting,Migraine,N/A,N/A,N/A
sneezing,itchy eyes,congestion,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
vomiting,chills,body ache,chest pain,rash,Malaria,Chloroquine,Artemether,Primaquine
cough,fever,dizziness,shortness of breath,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,congestion,fatigue,runny nose,loss of appetite,Sinusitis,N/A,N/A,N/A
sneezing,sore throat,runny nose,congestion,blurred vision,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chills,headache,fatigue,fever,body ache,Influenza,N/A,N/A,N/A
headache,rash,joint pain,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,sore throat,headache,congestion,,Sinusitis,N/A,N/A,N/A
sneezing,congestion,runny nose,itchy eyes,rash,Allergic Rhinitis,N/A,N/A,N/A
congestion,headache,sore throat,nausea,runny nose,Sinusitis,N/A,N/A,N/A
joint pain,chest pain,shortness of breath,fever,cough,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
blurred vision,headache,vomiting,nausea,,Migraine,N/A,N/A,N/A
fatigue,chest pain,chills,fever,body ache,Influenza,N/A,N/A,N/A
sore throat,congestion,sneezing,runny nose,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,fatigue,fever,shortness of breath,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
rash,vomiting,fever,diarrhea,nausea,Gastroenteritis,N/A,N/A,N/A
runny nose,congestion,headache,sore throat,,Sinusitis,N/A,N/A,N/A
rash,joint pain,headache,fatigue,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,congestion,itchy eyes,sneezing,body ache,Allergic Rhinitis,N/A,N/A,N/A
joint pain,sneezing,rash,headache,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sneezing,cough,runny nose,sore throat,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,headache,joint pain,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
rash,fever,headache,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,runny nose,congestion,chest pain,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,shortness of breath,chills,vomiting,body ache,Malaria,Chloroquine,Artemether,Primaquine
joint pain,fever,rash,headache,body ache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,sore throat,congestion,body ache,runny nose,Sinusitis,N/A,N/A,N/A
fever,sneezing,cough,vomiting,diarrhea,Gastroenteritis,N/A,N/A,N/A
cough,chest pain,fever,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,blurred vision,vomiting,nausea,,Migraine,N/A,N/A,N/A
diarrhea,runny nose,nausea,fever,vomiting,Gastroenteritis,N/A,N/A,N/A
headache,nausea,vomiting,blurred vision,,Migraine,N/A,N/A,N/A
fever,rash,headache,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sneezing,runny nose,congestion,itchy eyes,fatigue,Allergic Rhinitis,N/A,N/A,N/A
runny nose,sneezing,congestion,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
loss of appetite,shortness of breath,fever,fatigue,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
blurred vision,dizziness,headache,vomiting,nausea,Migraine,N/A,N/A,N/A
runny nose,sneezing,diarrhea,itchy eyes,congestion,Allergic Rhinitis,N/A,N/A,N/A
runny nose,cough,fatigue,shortness of breath,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,cough,chest pain,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
joint pain,headache,rash,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fatigue,dizziness,loss of appetite,cough,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
joint pain,rash,headache,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
nausea,fever,sneezing,vomiting,body ache,Malaria,Chloroquine,Artemether,Primaquine
nausea,sore throat,fever,cough,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
chills,blurred vision,headache,fever,body ache,Influenza,N/A,N/A,N/A
runny nose,congestion,itchy eyes,headache,sneezing,Allergic Rhinitis,N/A,N/A,N/A
runny nose,cough,congestion,itchy eyes,sneezing,Allergic Rhinitis,N/A,N/A,N/A
congestion,cough,sneezing,runny nose,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chest pain,fever,fatigue,body ache,chills,Influenza,N/A,N/A,N/A
shortness of breath,cough,fever,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
congestion,vomiting,nausea,fever,diarrhea,Gastroenteritis,N/A,N/A,N/A
fever,headache,rash,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
congestion,sneezing,runny nose,chills,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
headache,congestion,runny nose,fatigue,sore throat,Sinusitis,N/A,N/A,N/A
sore throat,congestion,runny nose,headache,joint pain,Sinusitis,N/A,N/A,N/A
fever,cough,shortness of breath,rash,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
body ache,cough,shortness of breath,sore throat,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,nausea,itchy eyes,sneezing,congestion,Allergic Rhinitis,N/A,N/A,N/A
cough,vomiting,diarrhea,chills,nausea,Gastroenteritis,N/A,N/A,N/A
fatigue,headache,body ache,fever,chills,Influenza,N/A,N/A,N/A
vomiting,fever,nausea,diarrhea,,Gastroenteritis,N/A,N/A,N/A
itchy eyes,congestion,sneezing,runny nose,fatigue,Allergic Rhinitis,N/A,N/A,N/A
sore throat,runny nose,sneezing,cough,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
headache,fever,joint pain,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,sneezing,sore throat,blurred vision,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
blurred vision,vomiting,nausea,fever,chills,Malaria,Chloroquine,Artemether,Primaquine
congestion,headache,sore throat,runny nose,,Sinusitis,N/A,N/A,N/A
dizziness,itchy eyes,sneezing,runny nose,congestion,Allergic Rhinitis,N/A,N/A,N/A
vomiting,headache,rash,congestion,blurred vision,Migraine,N/A,N/A,N/A
fever,vomiting,body ache,nausea,chills,Malaria,Chloroquine,Artemether,Primaquine
runny nose,headache,congestion,sore throat,,Sinusitis,N/A,N/A,N/A
vomiting,headache,blurred vision,nausea,,Migraine,N/A,N/A,N/A
rash,headache,fever,joint pain,runny nose,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
loss of appetite,shortness of breath,fever,cough,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,loss of appetite,vomiting,nausea,body ache,Malaria,Chloroquine,Artemether,Primaquine
joint pain,fever,rash,headache,fatigue,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
blurred vision,vomiting,congestion,nausea,headache,Migraine,N/A,N/A,N/A
headache,rash,joint pain,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,body ache,nausea,chills,fever,Malaria,Chloroquine,Artemether,Primaquine
shortness of breath,cough,loss of appetite,fatigue,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
chest pain,shortness of breath,fever,cough,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
cough,shortness of breath,fatigue,fever,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
headache,fever,joint pain,sneezing,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
itchy eyes,congestion,sneezing,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
fever,vomiting,diarrhea,nausea,,Gastroenteritis,N/A,N/A,N/A
nausea,chest pain,fever,vomiting,diarrhea,Gastroenteritis,N/A,N/A,N/A
headache,chills,fever,fatigue,body ache,Influenza,N/A,N/A,N/A
cough,rash,chest pain,shortness of breath,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,dizziness,shortness of breath,cough,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
blurred vision,runny nose,cough,congestion,headache,Sinusitis,N/A,N/A,N/A
vomiting,diarrhea,nausea,fever,blurred vision,Gastroenteritis,N/A,N/A,N/A
runny nose,itchy eyes,congestion,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
fatigue,headache,chills,fever,body ache,Influenza,N/A,N/A,N/A
cough,chest pain,loss of appetite,congestion,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
joint pain,chills,fever,headache,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,joint pain,congestion,rash,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
shortness of breath,cough,blurred vision,chest pain,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,shortness of breath,cough,chills,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
vomiting,nausea,fever,diarrhea,,Gastroenteritis,N/A,N/A,N/A
shortness of breath,fever,chest pain,fatigue,cough,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
rash,fever,joint pain,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,fatigue,headache,chills,body ache,Influenza,N/A,N/A,N/A
sneezing,headache,blurred vision,nausea,joint pain,Migraine,N/A,N/A,N/A
nausea,diarrhea,vomiting,fever,sore throat,Gastroenteritis,N/A,N/A,N/A
vomiting,fever,nausea,headache,body ache,Malaria,Chloroquine,Artemether,Primaquine
cough,shortness of breath,fatigue,fever,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
blurred vision,nausea,headache,vomiting,,Migraine,N/A,N/A,N/A
shortness of breath,fever,loss of appetite,fatigue,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,vomiting,rash,diarrhea,fever,Gastroenteritis,N/A,N/A,N/A
sneezing,sore throat,congestion,cough,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
cough,sore throat,runny nose,congestion,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
blurred vision,loss of appetite,fever,shortness of breath,runny nose,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
blurred vision,nausea,headache,vomiting,,Migraine,N/A,N/A,N/A
body ache,fever,fatigue,headache,chills,Influenza,N/A,N/A,N/A
congestion,headache,body ache,sore throat,runny nose,Sinusitis,N/A,N/A,N/A
chest pain,congestion,headache,sore throat,runny nose,Sinusitis,N/A,N/A,N/A
sneezing,congestion,runny nose,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
congestion,itchy eyes,fever,sneezing,diarrhea,Allergic Rhinitis,N/A,N/A,N/A
headache,blurred vision,dizziness,nausea,vomiting,Migraine,N/A,N/A,N/A
headache,shortness of breath,cough,chest pain,sore throat,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
chest pain,cough,shortness of breath,fever,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
sore throat,vomiting,runny nose,congestion,chest pain,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,congestion,sneezing,sore throat,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
diarrhea,fatigue,dizziness,loss of appetite,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fatigue,body ache,fever,headache,chills,Influenza,N/A,N/A,N/A
joint pain,headache,fatigue,chills,fever,Influenza,N/A,N/A,N/A
itchy eyes,congestion,runny nose,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
headache,body ache,chills,fatigue,fever,Influenza,N/A,N/A,N/A
vomiting,chills,nausea,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
sore throat,cough,chest pain,runny nose,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
blurred vision,headache,nausea,vomiting,,Migraine,N/A,N/A,N/A
chills,nausea,vomiting,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
sore throat,fever,cough,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
diarrhea,fever,vomiting,nausea,,Gastroenteritis,N/A,N/A,N/A
rash,joint pain,headache,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
blurred vision,headache,dizziness,nausea,vomiting,Migraine,N/A,N/A,N/A
headache,vomiting,loss of appetite,chest pain,blurred vision,Migraine,N/A,N/A,N/A
shortness of breath,vomiting,headache,nausea,body ache,Malaria,Chloroquine,Artemether,Primaquine
runny nose,sore throat,congestion,headache,,Sinusitis,N/A,N/A,N/A
loss of appetite,cough,shortness of breath,rash,runny nose,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,congestion,runny nose,fatigue,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
headache,sore throat,congestion,nausea,runny nose,Sinusitis,N/A,N/A,N/A
runny nose,sneezing,congestion,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
cough,fatigue,fever,shortness of breath,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
rash,headache,joint pain,fever,congestion,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
nausea,diarrhea,vomiting,fever,,Gastroenteritis,N/A,N/A,N/A
fever,loss of appetite,shortness of breath,fatigue,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fatigue,cough,fever,shortness of breath,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
runny nose,sneezing,chills,itchy eyes,congestion,Allergic Rhinitis,N/A,N/A,N/A
vomiting,nausea,blurred vision,headache,,Migraine,N/A,N/A,N/A
fever,nausea,body ache,vomiting,chills,Malaria,Chloroquine,Artemether,Primaquine
sneezing,congestion,itchy eyes,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
rash,joint pain,fever,headache,dizziness,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,cough,chest pain,shortness of breath,joint pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
nausea,headache,vomiting,blurred vision,,Migraine,N/A,N/A,N/A
blurred vision,headache,loss of appetite,vomiting,nausea,Migraine,N/A,N/A,N/A
nausea,fever,headache,diarrhea,dizziness,Gastroenteritis,N/A,N/A,N/A
sore throat,congestion,sneezing,runny nose,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
dizziness,fever,headache,chest pain,fatigue,Influenza,N/A,N/A,N/A
nausea,fever,body ache,vomiting,sneezing,Malaria,Chloroquine,Artemether,Primaquine
loss of appetite,sore throat,blurred vision,runny nose,congestion,Sinusitis,N/A,N/A,N/A
runny nose,congestion,sore throat,headache,,Sinusitis,N/A,N/A,N/A
chest pain,congestion,cough,rash,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
sneezing,joint pain,runny nose,cough,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
congestion,rash,sneezing,sore throat,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chills,sore throat,chest pain,fever,nausea,Malaria,Chloroquine,Artemether,Primaquine
runny nose,sneezing,headache,sore throat,congestion,Sinusitis,N/A,N/A,N/A
congestion,itchy eyes,sore throat,runny nose,sneezing,Allergic Rhinitis,N/A,N/A,N/A
body ache,nausea,fever,chills,vomiting,Malaria,Chloroquine,Artemether,Primaquine
fatigue,headache,body ache,chills,fever,Influenza,N/A,N/A,N/A
runny nose,sneezing,congestion,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
body ache,fatigue,chills,fever,headache,Influenza,N/A,N/A,N/A
fever,body ache,fatigue,dizziness,headache,Influenza,N/A,N/A,N/A
nausea,runny nose,congestion,cough,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,sneezing,congestion,cough,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,sneezing,congestion,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
vomiting,headache,blurred vision,nausea,,Migraine,N/A,N/A,N/A
vomiting,body ache,chills,fever,nausea,Malaria,Chloroquine,Artemether,Primaquine
nausea,fever,vomiting,diarrhea,,Gastroenteritis,N/A,N/A,N/A
vomiting,fever,nausea,shortness of breath,chills,Malaria,Chloroquine,Artemether,Primaquine
diarrhea,fever,vomiting,nausea,,Gastroenteritis,N/A,N/A,N/A
runny nose,sore throat,congestion,headache,fever,Sinusitis,N/A,N/A,N/A
cough,fever,blurred vision,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
vomiting,fever,nausea,diarrhea,fatigue,Gastroenteritis,N/A,N/A,N/A
fatigue,body ache,chills,fever,headache,Influenza,N/A,N/A,N/A
blurred vision,headache,vomiting,nausea,,Migraine,N/A,N/A,N/A
cough,fever,shortness of breath,chest pain,body ache,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,vomiting,diarrhea,nausea,,Gastroenteritis,N/A,N/A,N/A
fever,nausea,diarrhea,joint pain,vomiting,Gastroenteritis,N/A,N/A,N/A
sore throat,cough,congestion,runny nose,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,nausea,runny nose,blurred vision,vomiting,Malaria,Chloroquine,Artemether,Primaquine
chills,headache,fatigue,body ache,loss of appetite,Influenza,N/A,N/A,N/A
headache,runny nose,sneezing,sore throat,congestion,Sinusitis,N/A,N/A,N/A
diarrhea,nausea,fever,vomiting,,Gastroenteritis,N/A,N/A,N/A
chills,vomiting,nausea,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
headache,shortness of breath,fatigue,fever,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
congestion,blurred vision,itchy eyes,sneezing,runny nose,Allergic Rhinitis,N/A,N/A,N/A
cough,diarrhea,fever,headache,nausea,Gastroenteritis,N/A,N/A,N/A
chills,nausea,vomiting,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
rash,runny nose,joint pain,fever,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,chest pain,shortness of breath,fever,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
